日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,ROI
107/11/28,"7,356,527","142,412,594",19.45,19.5,19.05,19.5,0.05,"2,779",
107/11/29,"6,639,841","129,974,734",19.65,19.7,19.5,19.55,0.05,"3,224",
107/11/30,"8,740,360","171,148,712",19.65,19.7,19.55,19.55,0,"2,134",
107/12/03,"14,954,777","300,063,912",19.9,20.2,19.9,20.1,0.55,"5,233",
107/12/04,"6,740,535","135,390,546",20.1,20.15,19.95,20.15,0.05,"2,855",
107/12/05,"5,602,779","110,667,542",19.8,19.9,19.6,19.7,-0.45,"2,390",
107/12/06,"9,854,168","188,870,398",19.75,19.75,18.9,19,-0.7,"3,589",
107/12/07,"4,451,054","85,200,045",19.15,19.35,19,19.1,0.1,"1,784",
107/12/10,"5,262,963","99,133,297",18.6,19,18.55,18.85,-0.25,"2,205",
107/12/11,"8,252,272","154,254,647",18.8,19,18.6,18.6,-0.25,"2,908",
107/12/12,"5,233,036","99,325,123",18.8,19.1,18.8,19.1,0.5,"1,789",
107/12/13,"9,517,332","182,670,206",19.15,19.25,19.05,19.25,0.15,"1,892",
107/12/14,"3,313,067","63,366,049",19.2,19.2,19,19.2,-0.05,"1,511",
107/12/17,"3,403,646","64,968,080",19.15,19.2,19,19.1,-0.1,"1,229",
107/12/18,"16,497,530","309,880,021",19,19,18.75,18.75,-0.35,"2,322",
107/12/19,"2,856,580","53,869,666",18.85,18.95,18.75,18.8,0.05,"1,436",
107/12/20,"3,591,776","67,245,799",18.6,18.8,18.6,18.75,-0.05,"1,676",
107/12/21,"7,618,119","141,969,750",18.7,18.75,18.6,18.6,-0.15,"1,840",
107/12/22,"821,930","15,356,445",18.6,18.75,18.6,18.7,0.1,469,
107/12/24,"7,780,661","149,796,281",18.65,19.5,18.65,19.25,0.55,"3,335",
107/12/25,"4,417,804","83,267,276",18.8,19.1,18.75,18.75,-0.5,"1,636",
107/12/26,"2,471,273","46,451,202",18.8,18.95,18.7,18.8,0.05,"1,016",
107/12/27,"2,988,650","56,878,380",19.1,19.15,18.9,18.95,0.15,"1,436",
107/12/28,"3,154,437","60,233,606",18.95,19.2,18.95,19.1,0.15,"1,327",
